comment,id,toxic,severe_toxic,threat,insult,identity_hate,gaslight,manipulation
Keep talking and youll see what happens,gen_41,0,0,1,0,0,0,0
You wont survive whats coming next,gen_42,0,0,1,0,0,0,0
You look like a mistake,gen_43,0,0,0,1,0,0,0
No one else will ever care about you like I do,gen_44,0,0,0,0,0,0,1
Youre too emotional calm down,gen_45,0,0,0,0,0,1,0
We dont need your kind here,gen_46,0,0,0,0,1,0,0
I never said thatyou must be imagining things,gen_47,0,0,0,0,0,1,0
Everyone would be better off without you,gen_48,0,1,0,0,0,0,0
Youre remembering it wrong I was right,gen_49,0,0,0,0,0,1,0
Youre a waste of oxygen,gen_50,0,1,0,0,0,0,0
Your race is the problem with this country,gen_51,0,0,0,0,1,0,0
If you really loved me youd prove it,gen_52,0,0,0,0,0,0,1
Youre what happens when failure has a face,gen_53,0,0,0,1,0,0,0
How do you even live with yourself movie,gen_54,0,0,0,1,0,0,0
You all are just criminals in disguise,gen_55,0,0,0,0,1,0,0
Im doing this for your own good,gen_56,0,0,0,0,0,0,1
Youre polluting our culture,gen_57,0,0,0,0,1,0,0
Youre going to ruin everything if you speak up,gen_58,0,0,0,0,0,0,1
Youre being dramatic for no reason,gen_59,0,0,0,0,0,1,0
Youre nothing without my support,gen_60,0,0,0,0,0,0,1
Youre overreacting like always,gen_61,0,0,0,0,0,1,0
Your existence is offensive,gen_62,0,0,0,0,1,0,0
Even trash has more value than you,gen_63,0,0,1,1,1,0,0
Youre polluting our culture,gen_64,1,1,0,0,1,0,0
I cant believe anyone tolerates you,gen_65,1,0,0,1,0,0,0
Your time is running out,gen_66,1,0,1,0,1,0,0
You make me sick to my stomach,gen_67,1,1,0,0,0,0,1
Your existence is offensive,gen_68,0,0,0,0,1,0,0
Ive hurt worse people than you,gen_69,0,0,1,0,0,0,0
One day youll regret crossing me,gen_70,0,0,1,0,0,0,0
Your race is the problem with this country,gen_71,0,1,0,0,1,0,0
One day youll regret crossing me,gen_72,0,0,1,0,0,0,0
Youre dead if I ever see you,gen_73,0,0,1,0,0,0,1
Ill ruin you if you speak again,gen_74,0,0,1,1,0,1,0
They only like you because I told them to,gen_75,1,1,0,0,0,0,1
No one takes you seriously for a reason,gen_76,0,0,0,1,0,0,0
Ive hurt worse people than you,gen_77,0,0,1,0,0,0,0
I hope you get what you deservepain,gen_78,0,1,0,0,0,0,0
One day youll regret crossing me,gen_79,0,0,1,1,0,0,1
Your race is the problem with this country,gen_80,0,0,0,0,1,0,0
Its not abuse youre just sensitive,gen_81,0,0,0,0,0,1,0
If you really loved me youd prove it,gen_82,0,0,1,0,0,0,1
Youre what happens when failure has a face,gen_83,0,0,0,1,0,0,0
Youre a waste of oxygen,gen_84,0,1,0,0,0,0,0
Its not abuse youre just sensitive,gen_85,0,0,0,0,0,1,0
You make me sick to my stomach,gen_86,0,1,0,0,0,0,0
Youre a walking joke,gen_87,0,0,1,1,0,0,0
Youre irrelevant and annoying,gen_88,0,0,1,1,0,0,1
Youre dead if I ever see you,gen_89,0,0,1,0,0,0,0
Youre remembering it wrong I was right,gen_90,0,0,0,0,0,1,0
I cant believe anyone tolerates you,gen_91,1,0,0,0,1,0,0
Im doing this for your own good,gen_92,0,0,0,0,1,0,1
Youre overreacting like always,gen_93,0,1,0,0,0,1,0
Youre a waste of oxygen,gen_94,0,1,0,0,0,0,0
Everyone thinks youre the problem not me,gen_95,1,0,0,0,0,1,1
You deserve everything bad coming your way,gen_96,0,1,0,0,0,0,0
Youre going to ruin everything if you speak up,gen_97,0,0,0,0,0,0,1
I never said thatyou must be imagining things,gen_98,0,0,0,0,0,1,0
Youre nothing without my support,gen_99,0,0,0,0,0,0,1
Youre too dumb to realize how dumb you are,gen_100,0,0,0,1,0,0,0
They only like you because I told them to,gen_101,0,0,0,0,0,0,1
You make me sick to my stomach,gen_102,1,1,0,0,0,0,0
People laugh at you not with you,gen_103,0,0,0,1,0,0,0
You made me act this way,gen_104,0,0,1,0,0,1,1
Youre lucky I even talk to you,gen_105,0,0,0,0,0,0,1
Youre too dumb to realize how dumb you are,gen_106,0,0,0,1,0,0,0
Youre not making any sense,gen_107,0,0,0,0,0,1,0
People laugh at you not with you,gen_108,0,0,0,1,0,0,0
Youre the definition of pathetic,gen_109,1,0,0,0,0,0,0
Youre too emotional calm down,gen_110,0,0,0,0,0,1,0
You make me sick to my stomach,gen_111,0,1,0,0,1,0,1
I never said thatyou must be imagining things,gen_112,0,0,0,0,0,1,0
Youre too dumb to realize how dumb you are,gen_113,0,0,0,1,0,0,0
Better sleep with one eye open,gen_114,0,0,1,0,0,0,0
Everyone would be better off without you,gen_115,0,1,0,0,0,0,0
Youre pure trash and should be treated as such,gen_116,1,1,0,0,0,0,0
Youre too dumb to realize how dumb you are,gen_117,0,0,0,1,0,0,0
They only like you because I told them to,gen_118,0,0,0,0,0,0,1
Every time you speak the room gets dumber,gen_119,1,0,0,0,0,0,0
Youre being dramatic for no reason,gen_120,0,0,1,0,0,1,0
No one wants you around just leave,gen_121,1,0,0,0,0,0,0
You wont survive whats coming next,gen_122,1,0,1,0,0,0,0
Your existence is offensive,gen_123,0,0,0,0,1,0,0
Its not abuse youre just sensitive,gen_124,0,1,0,0,0,1,0
Everyone would be better off without you,gen_125,0,1,0,0,0,0,0
Youre so dumb its painful to watch,gen_126,1,0,0,0,0,0,0
Go die in a ditch nobody cares about you,gen_127,0,1,0,0,0,0,0
Go die in a ditch nobody cares about you,gen_128,0,1,0,0,0,0,0
Youre nothing but a failure,gen_129,1,0,0,0,0,0,0
Youre polluting our culture,gen_130,0,0,1,0,1,0,0
Better sleep with one eye open,gen_131,0,1,1,0,0,0,1
Youre just being paranoid again,gen_132,0,0,0,0,0,1,0
No one wants you around just leave,gen_133,1,0,0,0,0,0,0
People like you dont belong here,gen_134,0,0,0,0,1,0,0
Youre polluting our culture,gen_135,0,0,0,0,1,0,0
You all are just criminals in disguise,gen_136,0,0,0,0,1,0,0
Keep talking and youll see what happens,gen_137,0,0,1,0,0,0,0
No one wants you around just leave,gen_138,1,1,0,1,0,0,0
Youre the reason everyone is miserable,gen_139,1,0,1,0,0,0,0
Youre remembering it wrong I was right,gen_140,0,0,0,0,0,1,0
People laugh at you not with you,gen_141,0,0,0,1,0,0,0
No one wants you around just leave,gen_142,1,0,0,0,0,0,0
They only like you because I told them to,gen_143,0,0,0,0,0,0,1
Im doing this for your own good,gen_144,1,1,0,0,0,0,1
You look like a mistake,gen_145,0,0,0,1,0,0,0
I cant believe anyone tolerates you,gen_146,1,0,0,0,0,0,0
No one wants you around just leave,gen_147,1,0,0,0,0,0,0
Every time you speak the room gets dumber,gen_148,1,0,1,0,0,0,0
Youre so fake its embarrassing,gen_149,0,0,0,1,1,0,1
Theres no cure for how pathetic you are,gen_150,0,1,0,1,1,0,0
Your time is running out,gen_151,0,0,1,0,0,0,0
Dont forget I know where you live,gen_152,0,0,1,0,0,0,0
Ill ruin you if you speak again,gen_153,0,0,1,0,0,0,0
Your race is the problem with this country,gen_154,0,0,0,0,1,0,0
Youre nothing but a failure,gen_155,1,1,0,0,1,0,0
Youre disgusting inside and out,gen_156,1,0,0,0,0,0,0
You wont survive whats coming next,gen_157,0,0,1,0,0,0,0
Your existence is offensive,gen_158,0,0,0,0,1,0,0
Youre nothing but a failure,gen_159,1,0,0,0,0,0,0
Keep talking and youll see what happens,gen_160,0,0,1,0,0,0,1
We dont need your kind here,gen_161,1,0,1,0,1,0,0
You shouldve never been born,gen_162,0,1,0,0,0,0,0
Go die in a ditch nobody cares about you,gen_163,0,1,0,0,0,1,0
Youre what happens when failure has a face,gen_164,0,0,0,1,0,0,0
Youre disgusting inside and out,gen_165,1,0,0,1,0,0,1
I hope you get what you deservepain,gen_166,0,1,0,0,0,0,0
I never said thatyou must be imagining things,gen_167,0,0,0,0,0,1,0
You deserve everything bad coming your way,gen_168,0,1,1,0,0,1,0
Youre the reason we have problems,gen_169,0,0,0,0,1,0,0
Youre the reason we have problems,gen_170,0,0,0,0,1,0,0
You all are just criminals in disguise,gen_171,0,0,0,0,1,0,0
You deserve everything bad coming your way,gen_172,0,1,0,0,0,0,0
You make me sick to my stomach,gen_173,1,1,0,1,0,0,0
Your race is the problem with this country,gen_174,0,0,0,0,1,0,0
Ill ruin you if you speak again,gen_175,0,0,1,0,0,0,0
Im doing this for your own good,gen_176,0,1,0,1,0,0,1
Dont forget I know where you live,gen_177,0,0,1,0,0,0,0
You shouldve never been born,gen_178,0,1,1,0,0,0,0
Go die in a ditch nobody cares about you,gen_179,0,1,0,0,0,0,0
Youre so dumb its painful to watch,gen_180,1,0,0,0,0,0,0
Youre a disgrace to your religion,gen_181,0,1,0,0,1,0,1
No one wants you around just leave,gen_182,1,0,1,0,0,0,0
Youre the reason we have problems,gen_183,0,0,0,0,1,0,0
You make me sick to my stomach,gen_184,0,1,0,0,0,0,0
Youre a waste of oxygen,gen_185,0,1,0,0,0,1,1
Youre so dumb its painful to watch,gen_186,1,0,0,0,0,0,0
Everyone thinks youre the problem not me,gen_187,0,0,0,0,0,0,1
Youre not making any sense,gen_188,0,0,0,0,0,1,0
You wont survive whats coming next,gen_189,0,0,1,0,0,0,0
People talk behind your back for a reason,gen_190,1,0,0,0,0,0,0
Youre polluting our culture,gen_191,0,0,0,0,1,0,1
Youre remembering it wrong I was right,gen_192,0,0,0,0,0,1,0
Youre the reason we have problems,gen_193,0,0,0,1,1,0,1
Ive hurt worse people than you,gen_194,0,0,1,0,0,0,0
Your existence is offensive,gen_195,0,0,0,0,1,0,0
Go back to your own kind,gen_196,0,0,0,0,1,0,0
One day youll regret crossing me,gen_197,0,0,1,0,0,0,1
I never said thatyou must be imagining things,gen_198,1,0,0,0,0,1,1
You look like a mistake,gen_199,0,0,0,1,0,0,0
Youre the definition of pathetic,gen_200,1,0,0,0,0,0,0
They only like you because I told them to,gen_201,0,1,0,0,0,0,1
I never said thatyoure confused again,gen_202,0,0,0,0,0,0,1
You shouldve never been born,gen_203,0,1,1,0,1,0,0
Even trash has more value than you,gen_204,0,0,0,1,0,1,0
If you really loved me youd prove it,gen_205,0,0,0,0,0,0,1
Stop twisting my words,gen_206,0,0,0,0,0,1,0
Youre nothing without my support,gen_207,1,0,0,0,0,0,1
People talk behind your back for a reason,gen_208,1,1,0,0,0,0,0
Everyone would be better off without you,gen_209,0,1,0,0,0,0,0
Youre going to ruin everything if you speak up,gen_210,0,0,0,0,0,0,1
They only like you because I told them to,gen_211,0,0,0,0,0,0,1
You deserve everything bad coming your way,gen_212,0,1,0,0,0,0,0
Youre a waste of oxygen,gen_213,0,1,0,0,0,0,0
No one takes you seriously for a reason,gen_214,1,0,0,1,0,0,0
Im doing this for your own good,gen_215,0,0,0,0,0,0,1
Youre pure trash and should be treated as such,gen_216,0,1,0,0,0,0,0
Everyone would be better off without you,gen_217,0,1,1,0,0,1,0
Youre too emotional calm down,gen_218,0,0,0,0,0,1,0
People talk behind your back for a reason,gen_219,1,0,0,0,0,1,0
Everyone would be better off without you,gen_220,0,1,0,0,0,0,0
Youre a waste of oxygen,gen_221,0,1,0,0,0,0,0
Youre irrelevant and annoying,gen_222,0,0,0,1,0,0,1
Youre the reason everyone is miserable,gen_223,1,0,0,1,1,0,0
Youre nothing without my support,gen_224,0,0,0,0,0,0,1
Youre overreacting like always,gen_225,0,1,0,0,0,1,0
Hope your life stays miserable forever,gen_226,0,1,0,0,0,0,0
Youre so dumb its painful to watch,gen_227,1,0,0,0,0,0,0
Youre pure trash and should be treated as such,gen_228,0,1,0,0,0,0,0
How do you even live with yourself home,gen_229,0,0,0,1,1,0,0
No one wants you around just leave,gen_230,1,0,0,0,0,0,0
Youre lucky I even talk to you,gen_231,0,0,0,1,0,0,1
Stop twisting my words,gen_232,0,0,1,0,0,1,1
Youre nothing without my support,gen_233,0,0,0,0,0,0,1
Youre a waste of oxygen,gen_234,0,1,0,0,0,0,0
Ive hurt worse people than you,gen_235,0,0,1,0,0,0,0
Even trash has more value than you,gen_236,1,0,0,1,0,1,0
Your existence is a burden to others,gen_237,1,0,1,1,0,0,0
Youre not making any sense,gen_238,0,0,0,0,0,1,0
Your existence is offensive,gen_239,0,0,0,0,1,0,0
You shouldve never been born,gen_240,1,1,0,1,0,0,0
Stop twisting my words,gen_241,0,0,0,0,0,1,0
Better sleep with one eye open,gen_242,0,1,1,0,0,0,0
They only like you because I told them to,gen_243,0,0,0,0,0,0,1
Theres no cure for how pathetic you are,gen_244,1,1,0,0,0,0,1
You deserve everything bad coming your way,gen_245,0,1,0,0,0,0,0
People laugh at you not with you,gen_246,0,0,0,1,0,0,0
Youre not making any sense,gen_247,0,0,0,0,0,1,0
One day youll regret crossing me,gen_248,0,0,1,0,0,0,0
No one takes you seriously for a reason,gen_249,0,0,1,1,0,1,0
People laugh at you not with you,gen_250,0,0,0,1,0,0,0
Why do you always play the victim interview,gen_251,0,0,0,0,0,1,0
Stop twisting my words,gen_252,1,0,0,0,0,1,0
No one takes you seriously for a reason,gen_253,1,0,0,1,0,0,0
Why do you always play the victim foreign,gen_254,0,0,0,0,0,1,0
One day youll regret crossing me,gen_255,0,0,1,1,0,0,1
Youre so fake its embarrassing,gen_256,0,0,0,1,0,0,0
I never said thatyou must be imagining things,gen_257,0,0,1,0,1,1,0
Youre the reason everyone is miserable,gen_258,1,0,0,0,0,1,0
Better sleep with one eye open,gen_259,0,0,1,0,0,0,0
Youre nothing without my support,gen_260,0,1,0,0,0,0,1
Go back to your own kind,gen_261,0,0,0,0,1,0,0
You look like a mistake,gen_262,0,0,0,1,0,1,0
People laugh at you not with you,gen_263,0,0,0,1,0,0,0
No one takes you seriously for a reason,gen_264,0,0,0,1,0,0,0
Youre the reason we have problems,gen_265,0,0,0,0,1,0,0
Ive hurt worse people than you,gen_266,0,0,1,0,0,0,0
Your existence is offensive,gen_267,0,0,0,0,1,0,0
Even trash has more value than you,gen_268,0,0,0,1,0,0,0
People like you dont belong here,gen_269,0,1,0,0,1,0,0
Youre a waste of oxygen,gen_270,0,1,0,1,0,0,0
Youre a waste of oxygen,gen_271,0,1,0,0,1,0,0
You should be deported,gen_272,1,0,0,0,1,0,0
Youre a disgrace to your religion,gen_273,1,0,0,0,1,0,0
Youre not making any sense,gen_274,0,0,0,0,1,1,0
You look like a mistake,gen_275,0,0,0,1,0,0,0
Youre a waste of oxygen,gen_276,0,1,0,0,0,0,0
Why do you always play the victim set,gen_277,0,0,0,0,0,1,0
Youre too emotional calm down,gen_278,0,0,0,0,0,1,0
Your existence is a burden to others,gen_279,1,1,0,0,0,0,0
Youre being dramatic for no reason,gen_280,0,0,0,0,0,1,0
No one takes you seriously for a reason,gen_281,0,0,0,1,0,0,0
Ill ruin you if you speak again,gen_282,0,0,1,0,0,0,0
Youre the definition of pathetic,gen_283,1,0,0,0,1,0,0
Youre overreacting like always,gen_284,0,0,0,0,0,1,0
I never said thatyoure confused again,gen_285,0,0,0,0,0,0,1
I cant believe anyone tolerates you,gen_286,1,0,0,0,0,0,0
You wont survive whats coming next,gen_287,0,0,1,0,0,0,0
Youre irrelevant and annoying,gen_288,0,0,0,1,0,0,0
Youre just being paranoid again,gen_289,0,0,0,0,1,1,1
Youre dead if I ever see you,gen_290,0,0,1,0,0,0,0
Better sleep with one eye open,gen_291,0,0,1,0,1,0,0
Youre dead if I ever see you,gen_292,0,0,1,0,0,0,0
Youre irrelevant and annoying,gen_293,0,0,0,1,0,0,0
You made me act this way,gen_294,0,0,1,0,0,0,1
I never said thatyoure confused again,gen_295,0,0,0,0,1,0,1
Ive hurt worse people than you,gen_296,0,0,1,0,0,0,0
Go back to your own kind,gen_297,0,0,1,0,1,1,0
Everyone would be better off without you,gen_298,0,1,0,1,0,0,0
Better sleep with one eye open,gen_299,0,0,1,0,0,0,0
Hope your life stays miserable forever,gen_300,0,1,0,0,0,0,0
You make me sick to my stomach,gen_301,0,1,0,0,0,0,0
They only like you because I told them to,gen_302,0,0,0,1,0,0,1
Stop twisting my words,gen_303,0,0,0,0,0,1,0
Theres no cure for how pathetic you are,gen_304,1,1,0,1,0,0,0
Go die in a ditch nobody cares about you,gen_305,0,1,0,0,0,0,1
Youre irrelevant and annoying,gen_306,0,0,0,1,0,0,0
Ive hurt worse people than you,gen_307,0,0,1,0,0,0,0
One day youll regret crossing me,gen_308,0,0,1,0,0,0,0
Youre pure trash and should be treated as such,gen_309,0,1,0,0,0,1,1
Youre remembering it wrong I was right,gen_310,0,0,0,0,0,1,0
Even trash has more value than you,gen_311,1,0,0,1,0,0,0
You should be deported,gen_312,1,0,0,0,1,0,0
How do you even live with yourself late,gen_313,0,0,0,1,0,0,0
Even trash has more value than you,gen_314,0,1,0,1,0,1,0
People like you dont belong here,gen_315,0,0,0,0,1,0,0
Your time is running out,gen_316,1,0,1,0,0,1,0
You all are just criminals in disguise,gen_317,0,0,1,0,1,0,0
Youre dead if I ever see you,gen_318,0,0,1,0,0,0,0
Youre polluting our culture,gen_319,0,0,0,0,1,0,0
Youre going to ruin everything if you speak up,gen_320,0,0,0,0,0,0,1
Everyone thinks youre the problem not me,gen_321,0,0,1,0,0,0,1
Youre pure trash and should be treated as such,gen_322,0,1,0,0,0,0,0
You all are just criminals in disguise,gen_323,0,1,0,0,1,0,0
Everyone thinks youre the problem not me,gen_324,0,0,0,0,0,0,1
You wont survive whats coming next,gen_325,0,1,1,0,0,0,0
I will break everything you love,gen_326,0,0,1,0,0,0,0
You shouldve never been born,gen_327,0,1,0,0,0,0,0
No one wants you around just leave,gen_328,1,0,0,0,0,0,0
Your existence is offensive,gen_329,0,0,0,0,1,0,0
Everyone would be better off without you,gen_330,0,1,0,0,0,0,0
You should be deported,gen_331,0,1,0,0,1,1,0
Youre what happens when failure has a face,gen_332,0,0,0,1,0,0,0
Theres no cure for how pathetic you are,gen_333,0,1,0,1,0,0,0
Ill ruin you if you speak again,gen_334,0,0,1,0,0,1,0
Youre what happens when failure has a face,gen_335,0,0,0,1,0,0,0
Youre polluting our culture,gen_336,0,0,0,0,1,0,0
Youre so dumb its painful to watch,gen_337,1,0,0,0,0,0,0
Your existence is a burden to others,gen_338,1,0,0,1,0,0,0
Youre being dramatic for no reason,gen_339,0,0,1,0,0,1,0
You all are just criminals in disguise,gen_340,0,0,0,0,1,0,0
Youre too emotional calm down,gen_341,0,1,0,0,0,1,0
Youre what happens when failure has a face,gen_342,0,0,0,1,0,0,1
Youre the definition of pathetic,gen_343,1,0,0,0,0,0,0
Go die in a ditch nobody cares about you,gen_344,0,1,0,0,0,0,0
Theres no cure for how pathetic you are,gen_345,0,1,0,0,0,0,0
Its not abuse youre just sensitive,gen_346,0,0,0,0,0,1,0
Youre the reason we have problems,gen_347,0,0,1,0,1,0,0
Youre so fake its embarrassing,gen_348,0,0,0,1,0,0,0
They only like you because I told them to,gen_349,0,0,0,0,0,0,1
No one wants you around just leave,gen_350,1,0,0,1,0,0,0
Youre the reason we have problems,gen_351,1,0,0,0,1,0,0
Youre pure trash and should be treated as such,gen_352,0,1,0,0,0,0,0
No one takes you seriously for a reason,gen_353,0,0,0,1,0,0,0
No one takes you seriously for a reason,gen_354,0,0,0,1,0,1,0
You all are just criminals in disguise,gen_355,1,0,0,0,1,0,0
Go die in a ditch nobody cares about you,gen_356,0,1,0,0,0,0,0
Better sleep with one eye open,gen_357,0,0,1,0,0,0,1
Ill ruin you if you speak again,gen_358,0,0,1,0,0,0,0
How do you even live with yourself turn,gen_359,0,0,0,1,0,0,0
If you really loved me youd prove it,gen_360,0,0,0,0,0,1,1
No one wants you around just leave,gen_361,1,0,0,0,0,0,0
You should be deported,gen_362,0,0,0,0,1,0,0
Your existence is offensive,gen_363,0,0,0,0,1,0,0
Youre the definition of pathetic,gen_364,1,0,1,1,0,0,0
Even trash has more value than you,gen_365,0,0,1,1,1,0,0
Youre the definition of pathetic,gen_366,1,0,0,0,0,0,1
Youre not making any sense,gen_367,0,0,0,0,0,1,0
How do you even live with yourself one,gen_368,1,0,1,1,0,0,0
Youre nothing without my support,gen_369,0,0,0,1,0,0,1
Your race is the problem with this country,gen_370,0,0,0,0,1,1,0
You made me act this way,gen_371,0,0,0,0,0,0,1
Youre the definition of pathetic,gen_372,1,0,0,0,0,0,0
Youre being dramatic for no reason,gen_373,0,0,0,0,0,1,0
You deserve everything bad coming your way,gen_374,0,1,0,0,0,0,0
Youre the definition of pathetic,gen_375,1,0,0,0,0,0,0
Every time you speak the room gets dumber,gen_376,1,1,0,0,0,1,0
You all are just criminals in disguise,gen_377,1,0,0,0,1,0,0
Youre irrelevant and annoying,gen_378,0,0,0,1,0,1,0
Youre too dumb to realize how dumb you are,gen_379,0,0,0,1,0,0,0
Youre lucky I even talk to you,gen_380,0,1,0,0,0,1,1
Youre the definition of pathetic,gen_381,1,0,0,0,0,0,0
You should be deported,gen_382,0,0,0,0,1,0,0
Youre so dumb its painful to watch,gen_383,1,0,0,0,0,1,0
You all are just criminals in disguise,gen_384,0,0,0,0,1,0,0
No one else will ever care about you like I do,gen_385,0,0,0,0,0,0,1
Youre so fake its embarrassing,gen_386,0,0,0,1,0,0,0
You all are just criminals in disguise,gen_387,0,0,0,0,1,0,0
Even trash has more value than you,gen_388,0,0,0,1,0,0,0
If you really loved me youd prove it,gen_389,0,0,0,0,0,0,1
Hope your life stays miserable forever,gen_390,0,1,0,0,0,0,1
You made me act this way,gen_391,0,0,0,0,0,0,1
Youre pure trash and should be treated as such,gen_392,0,1,0,0,1,0,1
Its not abuse youre just sensitive,gen_393,0,0,0,0,0,1,0
Youre remembering it wrong I was right,gen_394,0,0,0,1,0,1,0
Every time you speak the room gets dumber,gen_395,1,0,0,0,0,0,0
Youre so fake its embarrassing,gen_396,0,0,0,1,0,0,0
No one wants you around just leave,gen_397,1,0,1,0,0,0,0
Stop twisting my words,gen_398,0,0,0,0,0,1,1
Youre remembering it wrong I was right,gen_399,0,1,0,0,0,1,0
Everyone would be better off without you,gen_400,0,1,0,0,0,0,0
Your existence is offensive,gen_401,0,0,0,0,1,0,0
Youre what happens when failure has a face,gen_402,0,0,0,1,0,0,0
Stop twisting my words,gen_403,0,0,1,0,0,1,0
Youre nothing without my support,gen_404,0,0,0,1,0,0,1
Youre not making any sense,gen_405,0,0,0,0,0,1,0
If you really loved me youd prove it,gen_406,0,0,0,0,0,0,1
You deserve everything bad coming your way,gen_407,0,1,1,0,0,0,1
Dont forget I know where you live,gen_408,0,1,1,1,0,0,0
Dont forget I know where you live,gen_409,0,0,1,0,0,0,0
Its not abuse youre just sensitive,gen_410,1,1,0,0,0,1,0
Everyone would be better off without you,gen_411,0,1,0,0,0,0,0
Your race is the problem with this country,gen_412,0,0,1,0,1,0,1
Even trash has more value than you,gen_413,0,0,0,1,0,0,0
Ive hurt worse people than you,gen_414,0,0,1,0,0,0,0
Youre nothing but a failure,gen_415,1,0,0,0,0,0,0
Dont forget I know where you live,gen_416,0,0,1,0,0,0,0
Everyone would be better off without you,gen_417,1,1,1,0,0,0,0
Hope your life stays miserable forever,gen_418,0,1,0,0,0,0,0
We dont need your kind here,gen_419,0,0,0,0,1,0,0
One day youll regret crossing me,gen_420,0,1,1,0,0,1,0
You shouldve never been born,gen_421,0,1,0,1,0,0,0
Youre not making any sense,gen_422,0,0,0,1,0,1,0
No one else will ever care about you like I do,gen_423,0,0,0,0,0,0,1
Even trash has more value than you,gen_424,1,0,0,1,1,0,0
Everyone thinks youre the problem not me,gen_425,0,0,0,0,0,0,1
You look like a mistake,gen_426,0,0,0,1,0,0,0
Youre a walking joke,gen_427,0,0,0,1,0,0,0
You wont survive whats coming next,gen_428,1,0,1,1,0,0,0
Your race is the problem with this country,gen_429,0,0,0,0,1,0,0
I will break everything you love,gen_430,0,0,1,0,0,1,0
Youre too emotional calm down,gen_431,0,0,0,0,0,1,0
You should be deported,gen_432,0,0,0,0,1,0,0
Youre overreacting like always,gen_433,0,0,0,0,0,1,0
Everyone would be better off without you,gen_434,0,1,0,0,0,0,0
Youre too emotional calm down,gen_435,0,0,0,0,1,1,0
Youre just being paranoid again,gen_436,1,0,1,0,0,1,0
Everyone thinks youre the problem not me,gen_437,0,0,0,0,0,0,1
Youre the reason everyone is miserable,gen_438,1,0,0,0,0,0,0
Everyone would be better off without you,gen_439,0,1,0,0,0,0,0
Youre so fake its embarrassing,gen_440,0,0,0,1,0,0,0
They only like you because I told them to,gen_441,0,0,0,0,0,0,1
I never said thatyou must be imagining things,gen_442,0,1,0,1,0,1,0
Youre so fake its embarrassing,gen_443,0,0,0,1,1,0,1
You shouldve never been born,gen_444,0,1,0,0,0,0,0
You look like a mistake,gen_445,0,0,0,1,1,0,0
People laugh at you not with you,gen_446,0,0,0,1,0,0,0
Everyone would be better off without you,gen_447,0,1,0,0,0,0,0
Youre so dumb its painful to watch,gen_448,1,0,0,0,0,0,0
Youre the reason we have problems,gen_449,0,0,1,0,1,0,0
Better sleep with one eye open,gen_450,0,0,1,0,0,1,1
They only like you because I told them to,gen_451,0,0,0,0,1,0,1
We dont need your kind here,gen_452,1,0,0,0,1,0,0
You wont survive whats coming next,gen_453,0,0,1,0,0,0,0
Youre too emotional calm down,gen_454,0,0,0,0,0,1,0
Your race is the problem with this country,gen_455,0,0,0,0,1,0,0
